TRAVERSA POSTERIORE;Rear crossmember + wheel basket  ;745
PARASPRUZZI RUOTE ANTERIORI;Front mudguards;747
SIGLE POSTERIORI;Rear Badging;749
ESCLUSIONE FANALERIA ANTERIORE (BONIFICO);Headlights exclusion;750
Russian language stickers;Russian language stickers;75H
PREDISPOSIZIONE TPMS AL-KO;ALKO TPMS PREDISPOSITION;75J
PREDISPOSIZIONE TPMS AL-KO;ALKO TPMS PREDISPOSITION;75J
PREDISPOSIZIONE CAVI PER TELECAMERA VISIBILITA' POSTERIORE;Cables for rear visibility camera predisposition;75M
PREDISPOSIZIONE CAVI PER TELECAMERA VISIBILITA' POSTERIORE;Cables for rear visibility camera predisposition;75M
PREDISPOSIZIONE DRL LED;DRL LED predisposition;75N
TABLET HOLDER;Tablet holder;75Q
TABLET HOLDER;Tablet holder;75Q
PORTARUOTA DI SCORTA ESTRAIBILE;Spare Wheel winch;786
SOSPENSIONI POSTERIORI CON BALESTRA IN COMPOSITO;Composite leaf rear suspensions ;78Z
PREDISPOSIZIONE TELAIO AL-KO RIBASSATO;Lowered AL-KO chassis predisposition;7AV
TPMS INDIRETTO (TYRE PRESSURE MONITORING SYSTEM);TPMS Indirect (tyre pressure monitoring system);7B2
TPMS INDIRETTO (TYRE PRESSURE MONITORING SYSTEM);TPMS Indirect (tyre pressure monitoring system);7B2
BONIFICO TPMS (TYRE PRESSURE MONITORING SYSTEM);TPMS (tyre pressure monitoring system) removal;7H4
ALTERNATORE POTENZIATA (220 A);Powerful alternator (220 A);7KK
OMOLOGAZIONE EURO VI E HEAVY DUTY;EURO VI E HEAVY DUTY homologation;7PC
MANCA SELLERIA;Upholstery elimination;7Q5
ESC - SETUP SPECIFICO CAMPER;ESC - specific RVs setup;7SH
TARGHETTE IN LINGUA TURCA;Turkish label;7UY
VANO PORTAOGGETTI SOTTO SEDILE GUIDA;Compartment under driver's seat;7WV
VANO PORTAOGGETTI SOTTO SEDILE GUIDA;Compartment under driver's seat;7WV
VERNICE EXTRA SERIE PASTELLO;Special Paint;802
PRESA CORRENTE 12V VANO DI CARICO;12V socket in load compartment ;823
CAPUCINE;Under-ceiling shelf (capucine) ;835
LIBRETTO ITALIANO/LINGUA;Italian Warranty Book;850
LIBRETTO FRANCESE/LINGUA;French Warranty Book;851
LIBRETTO INGLESE/LINGUA;English Warranty Book;852
LIBRETTO TEDESCO/LINGUA;German Warranty Book;853
LIBRETTO SPAGNOLO/LINGUA;Spanish Warranty Book;856
ESCLUSIONE SIGLE VETTURA (BONIFICO);Badges exclusion;879
TUBAZIONE GAS DI BLOW BY RISCALDATA;Heated blow by pipe;887
LIBRETTO PORTOGHESE/LINGUA;Portugese Warranty Book;898
AMAZON PLUS Preparation;AMAZON PLUS Preparation;8A3
KIT TELECAMERA VISIBILITú POSTERIORE SENZA LINEE + CAVI;REAR VISIBILITY CAMERA WITHOUT GRIDLINES  KIT +  CABLE PREDISPOSITION ;8EJ
L2 AUTONOMOUS DRIVING;L2 AUTONOMOUS DRIVING;8JP
PEDANA SALITA RETRATTILE PER PORTA LATERALE SCORREVOLE;Side step sliding door;8JU
SELLERIA TESSUTO MID;Mid level fabric upholstery ;8RS
SELLERIA TESSUTO MID;Mid level fabric upholstery ;8RS
Load Compartment Wall Wooden Full Height Protection (High Level);Load Compartment Wall Wooden Full Height Protection (High Level);8X7
Load Compartment Floor Wooden Protection (High Level);Load Compartment Floor Wooden Protection (High Level);8XD
KIT CARTER SEDILI PER ALLESTIMENTI;Seat carter kit for conversions;8ZJ
TRACTION PLUS + HILL DESCENT CONTROL;Traction plus + Hill descent control;941
TUBAZIONE DI SCARICO PER GUIDA SINISTRA;Specific motorhome exhaust for left hand drive;947
SEDILE PASSEGGERO SINGOLO CON REGOLAZIONI LONGITUDINALE E INCLINAZIONE SCHIENALE;Passenger seat with longitudinal and backrest adjustment;950
RUOTA DI SCORTA IN LAMIERA DI  DIMENSIONI NORMALI;Steel spare wheel;980
TELAIO SPECIAL;Special chassis;988
SEDILE GUIDATORE SPECIFICO POSTE&CORRIERI;Driver seat for Postal Service Mission;9RV
PROIETTORI FULL LED;Full LED headlamps;9WE
FRONT LED HEADLIGHTS;FRONT LED HEADLIGHTS;9Z4
3-WAY TIPPER PREDISPOSITION;3-WAY TIPPER PREDISPOSITION;A2Q
3-WAY TIPPER+TOOLBOX PREDISPOSITION (Toolbox installed behind driver's cab);3-WAY TIPPER+TOOLBOX PREDISPOSITION (Toolbox installed behind driver's cab);A2R
GSR STEP B COMPLIANT;GSR STEP B COMPLIANT;A5A
GSR STEP B COMPLIANT;GSR STEP B COMPLIANT;A5A
WINDOW 3/2026;WINDOW 3/2026;CMV
WINDOW 3/2026;WINDOW 3/2026;CMV
WINDOW 3/2026;WINDOW 3/2026;CMV
GSR STEP C COMPLIANT;GSR STEP C COMPLIANT;JCS
GSR STEP C COMPLIANT;GSR STEP C COMPLIANT;JCS
PADDED PROFILES FOR CARGO BOX;PADDED PROFILES FOR CARGO BOX;JJ1
ePTO FULL SOLUTION: DC 400V - DC 12V - AC 230V;ePTO FULL SOLUTION: DC 400V - DC 12V - AC 230V;JJ0
M2 PROXI PARAMETER SET-UP;M2 PROXI PARAMETER SET-UP;JH9
WINDOW 7/2026 MANAGEMENT ACTIVITIES;WINDOW 7/2026 MANAGEMENT ACTIVITIES;JHD
